,genes_0,genes_1,x,y,cluster
170675,20234.387,21739.3,19881.0,9379.0,0.0
170785,19888.633,22665.457,19875.0,9350.0,1.0
170808,20975.648,21015.64,19886.0,9330.0,2.0
170818,19986.607,22509.695,19904.0,9160.0,3.0
170819,20025.033,22428.455,19902.0,9216.0,4.0
170883,20073.479,22313.074,19888.0,9619.0,5.0
170916,21459.84,20560.846,19889.0,9356.0,6.0
170934,21116.48,20871.334,19895.0,9306.0,725.0
170943,19887.115,22669.295,19900.0,9264.0,1.0
170989,20093.951,22150.871,19904.0,9274.0,110.0
171002,19959.71,22548.697,19905.0,9797.0,7.0
171016,20413.242,21531.654,19906.0,9134.0,8.0
171024,20711.342,21205.94,19912.0,9110.0,9.0
171025,20965.738,21056.7,19907.0,9187.0,2.0
171053,20627.482,21412.426,19902.0,9632.0,725.0
171071,19986.188,22500.639,19913.0,9361.0,3.0
171102,21494.082,20241.568,19913.0,9242.0,10.0
171143,22058.455,20188.504,19926.0,9134.0,121.0
171152,20294.686,21702.006,19924.0,9270.0,0.0
171161,21549.426,20460.896,19922.0,9305.0,11.0
171198,20580.969,21433.68,19930.0,9543.0,725.0
171206,20672.188,21474.316,19933.0,9329.0,12.0
171233,20994.285,22314.387,19928.0,9210.0,13.0
171256,21412.729,20580.812,19927.0,9172.0,6.0
171289,21202.053,20585.94,19941.0,9116.0,725.0
171302,20187.738,22311.85,19945.0,9487.0,14.0
171303,21403.871,20421.893,19939.0,9609.0,725.0
171326,20100.521,22293.21,19950.0,9076.0,110.0
171327,20608.037,21576.518,19944.0,9569.0,725.0
171334,20624.676,22291.102,19946.0,9148.0,17.0
171338,20620.463,21376.05,19954.0,9002.0,725.0
171339,19965.764,22546.742,19953.0,9048.0,3.0
171340,20695.219,22215.86,19946.0,9272.0,17.0
171341,21016.441,20965.148,19950.0,9451.0,2.0
171348,21449.703,20627.68,19951.0,9421.0,6.0
171373,20221.346,22316.047,19950.0,9251.0,14.0
171387,20271.098,21878.373,19956.0,8974.0,57.0
171388,20838.672,21931.805,19959.0,9334.0,15.0
171402,20955.227,22009.633,19956.0,9319.0,16.0
171417,20949.924,22189.094,19951.0,9532.0,22.0
171428,20660.28,22209.117,19960.0,9130.0,17.0
171429,21602.555,20591.176,19961.0,9384.0,18.0
171437,20575.553,21306.082,19965.0,9864.0,19.0
171455,19977.135,22509.21,19965.0,9087.0,3.0
171459,20187.016,22096.115,19965.0,9360.0,110.0
171489,20972.184,21089.725,19967.0,9104.0,2.0
171490,20961.803,22313.848,19974.0,9188.0,13.0
171491,20964.547,20844.121,19961.0,9590.0,725.0
171514,19967.914,22538.49,19967.0,8900.0,3.0
171520,20627.117,21288.69,19973.0,8977.0,725.0
171521,21593.588,20447.291,19967.0,9459.0,11.0
171533,21702.932,20392.574,19975.0,8933.0,20.0
171534,20968.732,22105.56,19976.0,9056.0,22.0
171553,20954.693,22228.883,19978.0,9009.0,21.0
171554,20946.875,22120.252,19977.0,9238.0,22.0
171555,20920.812,22101.922,19971.0,9500.0,22.0
171574,20901.244,21739.906,19980.0,9341.0,23.0
171575,21284.818,20562.215,19980.0,9850.0,24.0
171581,20929.691,21926.445,19983.0,9540.0,25.0
171587,20207.475,21867.65,19980.0,9397.0,26.0
